unit,age,supergroup,group,principal_aquifer,system,hard_rock,confidence,note,km2_ap,wells_ap
DECCAN TRAP,LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,"",Basalt,basalte,TRUE,sur,basaltes du Deccan,8825,105
CHARNOCKITE GNEISSIC COMPLEX (EASTERN GHAT),ARCHAEAN - PROTEROZOIC,EASTERN GHAT,CHARNOCKITE,Charnockite,cristallin,TRUE,sur,Ghats orientaux,6775,45
CHARNOCKITE GNEISSIC COMPLEX (SOUTHERN GRANULITE TERRAIN),ARCHAEAN - PROTEROZOIC,SOUTHERN GRANULITE TERRAIN,CHARNOCKITE,Charnockite,cristallin,TRUE,sur,"charnockites, terrain granulitique du sud",950,12
KARIMNAGAR GRANULITE,ARCHAEAN- PALAEOPROTEROZOIC,"","",Charnockite,cristallin,TRUE,a verifier,"granulites de Karimnagar, rangees avec les charnockites (facies granulite)",250,2
PENINSULAR GNEISSIC COMPLEX-II  (GNEISS DOMINATED),ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,Gneiss,cristallin,TRUE,sur,"PGC-II, facies gneissique",36300,336
MIGMATITE GNEISSIC COMPLEX (EASTERN GHAT),ARCHAEAN - PROTEROZOIC,EASTERN GHAT,MIGMATITE,Gneiss,cristallin,TRUE,sur,migmatites des Ghats orientaux,12125,147
BENGPAL GNEISS / BIJAPUR GNEISSIC COMPLEX Gp.,ARCHAEAN,"",BENGPAL GNEISS,Gneiss,cristallin,TRUE,a verifier,gneiss de Bengpal / complexe de Bijapur,3325,16
PENINSULAR GNEISSIC COMPLEX-I,ARCHAEAN,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-I,Gneiss,cristallin,TRUE,sur,PGC-I,650,7
PROTEROZOIC EPIDOTE-HORNBLENDE GNEISS,PROTEROZOIC,"","",Gneiss,cristallin,TRUE,sur,gneiss,175,1
SUKMA Gp.,ARCHAEAN,"",SUKMA,Gneiss,cristallin,TRUE,a verifier,"groupe de Sukma (gneiss, BIF, quartzites)",25,0
PENINSULAR GNEISSIC COMPLEX-II (GRANITE DOMINATED),ARCHAEAN- PALAEOPROTEROZOIC,PENINSULAR GNEISSIC COMPLEX,PENINSULAR GNEISSIC COMPLEX-II,Granite,cristallin,TRUE,sur,"PGC-II, facies granitique",84825,1127
CLOSEPET GRANITE,ARCHAEAN- PALAEOPROTEROZOIC,"","",Granite,cristallin,TRUE,sur,granite de Closepet,5875,71
ACID  INTRUSIVE / GRANITE / GRANODIORITE,ARCHAEAN / NEOPROTEROZOIC / MESOPROTEROZOIC / PALAEOPROTEROZOIC / TERTIARY / MESOZOIC / MESOZOIC - TERTIARY / ARCHAEAN- PALAEOPROTEROZOIC / PROTEROZOIC / CENOZOIC,"","",Intrusive,cristallin,TRUE,sur,granites et granodiorites intrusifs,1625,16
CHIMAKURTHI COMPLEX Gp.,MESOPROTEROZOIC,"",CHIMAKURTHI COMPLEX,Intrusive,cristallin,TRUE,sur,"complexe mafique-ultramafique (gabbro, anorthosite)",525,4
TADPATRI SILLS / FLOWS,MESOPROTEROZOIC,"","",Intrusive,cristallin,TRUE,sur,sills et coulees basiques,225,1
CHIMALPAD COMPLEX Fm.,ARCHAEAN,"","",Intrusive,cristallin,TRUE,sur,complexe anorthositique,125,2
KUNAVARAM Fm. (ALKALINE INTRUSIVE),MESOPROTEROZOIC,"","",Intrusive,cristallin,TRUE,sur,intrusif alcalin,100,1
BASIC INTRUSIVE (VEMPALLI SILLS / FLOWS),MESOPROTEROZOIC,"","",Intrusive,cristallin,TRUE,sur,sills basiques de Vempalli,25,0
VEMPALLI SILLS / FLOWS,MESOPROTEROZOIC,"","",Intrusive,cristallin,TRUE,sur,sills basiques de Vempalli,0,1
KHONDALITE GNEISSIC COMPLEX (EASTERN GHAT),ARCHAEAN - PROTEROZOIC,EASTERN GHAT,KHONDALITE,Khondalite,cristallin,TRUE,sur,Ghats orientaux,13450,120
NELLORE GP. (DHARWAR SGp..),ARCHAEAN,DHARWAR,NELLORE,Schist,cristallin,TRUE,sur,ceinture de roches vertes / schistes (Dharwar),1475,12
GADWAL Gp. (DHARWAR SGp.),ARCHAEAN,DHARWAR,GADWAL,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),1000,10
RAMAGIRI - PENAKACHERLA  Gp. (DHARWAR SGp.).,ARCHAEAN,DHARWAR,RAMAGIRI-PENAKACHERLA,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),450,2
KADIRI Gp. (DHARWAR SGp.),ARCHAEAN,DHARWAR,KADIRI,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),325,3
VELIGALLU Gp. (DHARWAR SGp.),ARCHAEAN,DHARWAR,VELIGALLU,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),275,2
KOLAR GOLD FIELD VOLCANICS Fm.(DHARWAR SGp.),ARCHAEAN,DHARWAR,KOLAR,Schist,cristallin,TRUE,sur,volcanites de Kolar (roches vertes),75,0
PEDDAVURU Gp.(DHARWAR SGp.),ARCHAEAN,DHARWAR,PEDDAVURU,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),75,0
BENGPAL Gp.,ARCHAEAN,"",BENGPAL,Schist,cristallin,TRUE,a verifier,"supracrustal de Bengpal (BIF, schistes)",50,0
HUNGUND-KUSHTAGI Gp (DHARWAR SGp.),ARCHAEAN,DHARWAR,HUNGUND-KUSHTAGI,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),50,0
JONNAGIRI Gp. (DHARWAR SGp.),ARCHAEAN,DHARWAR,JONNAGIRI,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),50,0
TSUNDUPALLI Gp.(DHARWAR SGp.),ARCHAEAN,DHARWAR,TSUNDUPALLI,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),50,0
SANDUR Gp. (DHARWAR SGp.),ARCHAEAN,DHARWAR,SANDUR,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),25,0
YERRABALLI Gp.(DHARWAR SGp.),ARCHAEAN,"",YERRABALLI,Schist,cristallin,TRUE,sur,ceinture de schistes (Dharwar),25,0
UNDIFF.FLUVIAL / AEOLIAN / COASTA & GLACIAL  SEDIMENTS,QUATERNARY,"","",Alluvium,non consolide,FALSE,sur,"alluvions, delta et cote",22775,359
KURNOOL Gp.(KOILKUNTLA / NANDYAL/ NARJI /OWK/ / PANIAM Fm.),NEOPROTEROZOIC,"",KURNOOL,Limestone,sedimentaire consolide,TRUE,a verifier,"Kurnool : calcaires Narji/Koilkuntla + schistes Owk/Nandyal, quartzite Paniam ; code sur le calcaire dominant",12625,144
PAPAGHNIi Gp.  (CUDDAPAH SGp.).,MESOPROTEROZOIC,CUDDAPAH,PAPAGHNI,Limestone,sedimentaire consolide,TRUE,a verifier,dolomie de Vempalli dominante + quartzite de Gulcheru a la base,2600,10
MULUG Gp. (PAKHAL/ ALBAKA SGp.),MESOPROTEROZOIC,PAKHAL/ ALBAKA,MULUG,Limestone,sedimentaire consolide,TRUE,a verifier,"Pakhal inferieur : dolomies, calcaires, quartzites, schistes",2400,5
PENGANGA Gp.,NEOPROTEROZOIC,"",PENGANGA,Limestone,sedimentaire consolide,TRUE,sur,calcaire de Chanda + schistes,1975,12
