district_name,n_shrids,miss_tap,miss_tubewell,miss_handpump,miss_well,miss_drnk_wat_f,class_tap
varanasi,1246,0.000802568218298555,0,0.000802568218298555,0,0.000802568218298555,scattered
azamgarh,3662,0,0,0,0,0,scattered
jaunpur,3248,0,0,0,0,0,scattered
basti,3047,0,0,0,0,0,scattered
gorakhpur,2839,0,0,0,0,0,scattered
allahabad,2778,0,0,0,0,0,scattered
ghazipur,2545,0,0,0,0,0,scattered
sultanpur,2493,0,0,0,0,0,scattered
siddharthnagar,2286,0,0,0,0,0,scattered
pratapgarh,2180,0,0,0,0,0,scattered
sitapur,2162,0,0,0,0,0,scattered
bijnor,2077,0,0,0,0,0,scattered
shahjahanpur,2034,0,0,0,0,0,scattered
deoria,1976,0,0,0,0,0,scattered
hardoi,1873,0,0,0,0,0,scattered
bareilly,1827,0,0,0,0,0,scattered
gonda,1810,0,0,0,0,0,scattered
bara banki,1809,0,0,0,0,0,scattered
budaun,1767,0,0,0,0,0,scattered
ballia,1742,0,0,0,0,0,scattered
rae bareli,1719,0,0,0,0,0,scattered
mirzapur,1685,0,0,0,0,0,scattered
unnao,1680,0,0,0,0,0,scattered
kheri,1649,0,0,0,0,0,scattered
ambedkar nagar,1637,0,0,0,0,0,scattered
kushinagar,1550,0,0,0,0,0,scattered
sant kabir nagar,1541,0,0,0,0,0,scattered
moradabad,1514,0,0,0,0,0,scattered
mau,1432,0,0,0,0,0,scattered
sonbhadra,1352,0,0,0,0,0,scattered
bahraich,1350,0,0,0,0,0,scattered
fatehpur,1337,0,0,0,0,0,scattered
chandauli,1328,0,0,0,0,0,scattered
pilibhit,1263,0,0,0,0,0,scattered
faizabad,1223,0,0,0,0,0,scattered
saharanpur,1203,0,0,0,0,0,scattered
mahrajganj,1176,0,0,0,0,0,scattered
aligarh,1173,0,0,0,0,0,scattered
bulandshahr,1164,0,0,0,0,0,scattered
rampur,1090,0,0,0,0,0,scattered
sant ravidas nagar bhadohi,1066,0,0,0,0,0,scattered
balrampur,993,0,0,0,0,0,scattered
kanpur dehat,965,0,0,0,0,0,scattered
jalaun,929,0,0,0,0,0,scattered
jyotiba phule nagar,913,0,0,0,0,0,scattered
agra,903,0,0,0,0,0,scattered
kanpur nagar,891,0,0,0,0,0,scattered
muzaffarnagar,872,0,0,0,0,0,scattered
farrukhabad,856,0,0,0,0,0,scattered
etah,854,0,0,0,0,0,scattered
mainpuri,817,0,0,0,0,0,scattered
lucknow,800,0,0,0,0,0,scattered
firozabad,784,0,0,0,0,0,scattered
auraiya,766,0,0,0,0,0,scattered
jhansi,734,0,0,0,0,0,scattered
kaushambi,727,0,0,0,0,0,scattered
mathura,711,0,0,0,0,0,scattered
kannauj,686,0,0,0,0,0,scattered
etawah,683,0,0,0,0,0,scattered
lalitpur,676,0,0,0,0,0,scattered
mahamaya nagar,656,0,0,0,0,0,scattered
banda,649,0,0,0,0,0,scattered
kanshiram nagar,638,0,0,0,0,0,scattered
meerut,593,0,0,0,0,0,scattered
chitrakoot,542,0,0,0,0,0,scattered
ghaziabad,509,0,0,0,0,0,scattered
shrawasti,503,0,0,0,0,0,scattered
hamirpur,482,0,0,0,0,0,scattered
mahoba,422,0,0,0,0,0,scattered
gautam buddha nagar,290,0,0,0,0,0,scattered
baghpat,282,0,0,0,0,0,scattered
