state_name,n_shrids,tap91,tap01,tap11,n91,d_91_01,d_01_11
uttar pradesh,95233,0.122364331317204,0.398895340900738,0.32942917895281,95232,0.276531009583534,-0.0694661619479287
madhya pradesh,49850,0.0289067201604814,0.125897693079238,0.20028486027804,49850,0.0969909729187563,0.074387167198802
maharashtra,39457,0.330581870825185,0.563524849836531,0.778239602605368,39373,0.232942979011346,0.214714752768837
bihar,36784,0.0092431491953023,0.0328956311339478,0.0946879077859939,36784,0.0236524819386454,0.0617922766520462
rajasthan,36557,0.1456082282463,0.999890581831113,0.506852312826545,36557,0.854282353584813,-0.493038269004568
jharkhand,28572,0.00972980540389192,0.0249545009099818,0.0905579549843745,28572,0.0152246955060899,0.0656034540743927
karnataka,26264,0.177010356381359,0.554713676515382,0.896131586963143,26264,0.377703320134024,0.341417910447761
andhra pradesh,25771,0.112879377431907,0.965038221256451,0.773641304347826,25700,0.852158843824545,-0.191396916908625
assam,21730,0.144691426204611,1,0.542982052462034,21729,0.855308573795389,-0.457017947537966
odisha,18617,0.00566068251657771,0.0501692001933717,0.138207015093732,18549,0.0445085176767939,0.0880378149003599
gujarat,17653,0.43341075171359,0.999433524046904,0.871183368266017,17653,0.566022772333314,-0.128250155780887
himachal pradesh,16569,0.919608908202064,0.989377753636309,0.992878266642525,16569,0.0697688454342447,0.00350051300621645
chhattisgarh,15427,0.0166591041680171,0.0716924871977702,0.202242821028068,15427,0.055033383029753,0.130550333830298
uttarakhand,15137,0.867873422738984,0.941071546541587,0.957917685142366,15137,0.0731981238026029,0.0168461386007795
tamil nadu,13514,0.298437847042274,0.998816042622466,0.969661092200681,13507,0.700378195580191,-0.0291549504217848
punjab,10506,0.29126213592233,0.581953169617362,0.774964302712994,10506,0.290691033695031,0.193011133095632
west bengal,7874,0.0494030988061976,1,0.139827279654559,7874,0.950596901193802,-0.860172720345441
haryana,6478,0.826952763198518,1,1,6478,0.173047236801482,0
meghalaya,3436,0.293259410563175,0.988642981945253,0.54627473806752,3427,0.695383571382079,-0.442368243877733
manipur,1827,0.148330596606459,0.197044334975369,0.281095890410959,1827,0.0487137383689108,0.0840515554355894
arunachal pradesh,1355,0.656088560885609,1,0.802214022140221,1355,0.343911439114391,-0.197785977859779
nagaland,1116,0.651433691756273,0.935483870967742,0.560035842293907,1116,0.284050179211469,-0.375448028673835
kerala,985,0.633502538071066,0.846700507614213,0.974619289340102,985,0.213197969543147,0.127918781725888
tripura,784,0.379310344827586,0.588010204081633,0.655612244897959,783,0.208699859254046,0.0676020408163266
sikkim,417,0.966426858513189,1,1,417,0.0335731414868106,0
mizoram,416,0.274038461538462,1,0.471153846153846,416,0.725961538461538,-0.528846153846154
goa,319,0.623824451410658,1,0.981191222570533,319,0.376175548589342,-0.0188087774294671
andaman nicobar islands,307,0.452768729641694,0.993485342019544,0.718032786885246,307,0.54071661237785,-0.275452555134298
puducherry,79,1,1,1,79,0,0
dadra nagar haveli,65,0.230769230769231,1,0.969230769230769,65,0.769230769230769,-0.0307692307692308
daman diu,17,1,1,1,17,0,0
lakshadweep,4,0.5,0.75,0.75,4,0.25,0
chandigarh,1,0,1,1,1,1,0
nct of delhi,1,1,1,1,1,0,0
