state_name,n_shrids,tap91,tap01,tap11
uttar pradesh,95159,0.122385926564241,0.398764173646213,0.329226138688363
madhya pradesh,49811,0.0288691252936098,0.125634899921704,0.200080305159607
maharashtra,39354,0.329971988795518,0.562865274177974,0.777811658281242
bihar,36767,0.00919302635515544,0.032746756602388,0.0945956972284929
rajasthan,34235,0.135563020300862,0.999883160508252,0.489528260552067
jharkhand,28562,0.00973321195994678,0.0249282263146838,0.0904492605992483
karnataka,26115,0.176105686387134,0.553781351713575,0.895653838789967
andhra pradesh,25717,0.113078062855806,0.964964809270133,0.773165797868202
assam,21698,0.144490021661981,1,0.542815005991336
odisha,18575,0.0056732223903177,0.050121130551817,0.137981157469717
gujarat,17611,0.433365510192493,0.999432173073647,0.871160070410539
himachal pradesh,16360,0.9190097799511,0.989425427872861,0.992909535452323
chhattisgarh,15407,0.0166807295385215,0.0712663075225547,0.201856299084832
uttarakhand,15110,0.867637326273991,0.9409662475182,0.957842488418266
tamil nadu,13412,0.297254960465463,0.998807038473009,0.969430360870862
punjab,10501,0.291400818969622,0.581849347681173,0.774857142857143
west bengal,7856,0.0493890020366599,1,0.139511201629328
haryana,6447,0.826896230805026,1,1
meghalaya,2914,0.28605851979346,0.987989018531229,0.514756348661634
manipur,1712,0.152453271028037,0.199766355140187,0.282875511396844
arunachal pradesh,1000,0.648,1,0.778
nagaland,993,0.644511581067472,0.939577039274924,0.554884189325277
kerala,966,0.626293995859213,0.84472049689441,0.974120082815735
tripura,767,0.370757180156658,0.580182529335072,0.649282920469361
sikkim,414,0.966183574879227,1,1
mizoram,395,0.260759493670886,1,0.455696202531646
goa,319,0.623824451410658,1,0.981191222570533
andaman nicobar islands,307,0.452768729641694,0.993485342019544,0.718032786885246
puducherry,79,1,1,1
dadra nagar haveli,65,0.230769230769231,1,0.969230769230769
daman diu,15,1,1,1
lakshadweep,4,0.5,0.75,0.75
