state_name,n_1991,n_2001,n_2011,share_all_sources_1991,share_all_sources_2001,share_all_sources_2011,mean_n_sources_1991,mean_n_sources_2001,mean_n_sources_2011
uttar pradesh,95659,96794,97737,1.04537994334041e-05,0.0467487654193442,2.04630794888323e-05,1.8418026531743,2.91188503419633,2.97311151355167
madhya pradesh,50014,51524,51877,0,0.0129454234919649,5.78290957457062e-05,1.80519454552725,2.53171337629066,3.23204888486227
maharashtra,39738,40714,40810,0,0.000466669941543449,0.00019603038470963,1.85333937289245,2.993540305546,3.89259985297721
rajasthan,36719,39410,39669,0,0.996016239533114,0.00199147949280294,2.22677632833138,9.99182948490231,3.59325922004588
bihar,37986,37436,39050,0,0.000106849022331446,0,2.71713262781025,2.22531787584144,2.76947503201024
jharkhand,28754,29096,29481,0,0,0.00196736881381229,2.51714544063435,2.2850563651361,3.2147484820732
karnataka,26422,27033,27236,0,0.000369918248067177,0.000514025554413277,2.02838543637878,2.94066511301003,4.11774856807167
andhra pradesh,25946,26211,26212,0,0.910724504978826,0.000152601861742713,1.61130810144146,9.30487200030521,3.20135815656951
assam,23072,23049,25308,0,0.999088897566055,0.0013829619092777,1.82610957004161,9.99731007852835,4.0463094673621
chhattisgarh,15507,19564,19545,0,0.0317419750562257,0,1.91365189914232,2.78102637497444,3.75323612177027
odisha,46075,19066,47472,0,0.030053498374069,0,2.08614215952252,2.82335046679954,3.33851533535558
gujarat,17784,17882,17801,0,0.998490101778325,0,2.90721997300945,9.98915110166648,3.54429526431099
himachal pradesh,16628,17235,17492,0,0,5.71689915389893e-05,1.37466923261968,2.04647519582245,2.40121198262063
uttarakhand,15207,15512,15708,0,0.666064981949459,0.000190985485103132,1.33333333333333,7.60978597215059,2.01706137000255
tamil nadu,14082,14833,14944,0,0.000741589698644913,0.0274357601713062,2.04743644368698,4.20130789455943,4.46527034261242
punjab,11177,11536,12163,0,0.000953536754507628,0.000904382142563512,2.13635143598461,2.30322468793343,2.68157526925923
west bengal,37100,8019,37284,0.00032345013477089,0.999750592343185,0,1.33118598382749,9.99850355405911,2.92543718485141
haryana,6547,6620,6610,0,0.995015105740181,0,2.90468917061249,9.98776435045317,3.36656580937973
jammu kashmir,,6252,6310,,0.993921944977607,0.000792393026941363,,9.98672424824056,3.41362916006339
,6962,5798,1,0,0.396860986547085,0,1.39255960930767,5.12331838565022,2
meghalaya,4990,3783,5501,0,0.979645783769495,0.00145428103981094,1.11823647294589,9.82791435368755,2.69914560988911
arunachal pradesh,1412,3188,3355,0,0.993726474278544,0,0.823654390934844,9.97490589711418,2.30372578241431
manipur,1970,2157,2316,0,0,0,0.827918781725888,1.80713954566528,2.06908462867012
kerala,1318,1322,992,0.000758725341426404,0.00680786686838124,0.0393145161290323,4.0546282245827,5.35930408472012,7.36592741935484
nagaland,1145,1251,1262,0,0.653077537969624,0,1.16244541484716,8.47561950439648,2.59033280507132
tripura,814,824,837,0,0.0109223300970874,0.020310633213859,3.41646191646192,5.75606796116505,4.88291517323775
mizoram,552,469,682,0,0.991471215351812,0,1.01449275362319,9.96588486140725,2.20674486803519
sikkim,420,423,422,0,0,0,0.964285714285714,2.00236406619385,2.08293838862559
andaman nicobar islands,316,380,396,0,0.965789473684211,0,1.2626582278481,9.77105263157895,2.57575757575758
goa,356,344,320,0,1,0.0125,2.04775280898876,10,4.7
puducherry,81,92,90,0,1,0,1.81481481481482,10,1.05555555555556
dadra nagar haveli,70,70,65,0,1,0,1.3,10,4.47692307692308
daman diu,23,23,17,0,1,0,2,10,3.58823529411765
lakshadweep,7,8,6,0,0,0,2.28571428571429,2.75,3.83333333333333
chandigarh,1,1,1,0,0,0,0,3,7
nct of delhi,1,1,1,0,1,0,5,10,8
