state_name,n_1991,n_2001,n_2011,share_all4_1991,share_all4_2001,share_all4_2011
uttar pradesh,95659,96794,97737,0.00332430821982249,0.129119573527285,0.0117253445471009
madhya pradesh,50014,51524,51877,0.000239932818810733,0.0552169862588308,0.00659251691501051
maharashtra,39738,40714,40810,0,0.135629021958049,0.0700808625336927
rajasthan,36719,39410,39669,0.0179743457065824,0.999264146155798,0.103456099221054
bihar,37986,37436,39050,0.00389617227399568,0.00801367667485843,0
jharkhand,28754,29096,29481,0.000834666481185226,0.00213087709650811,0.00498626233845528
karnataka,26422,27033,27236,0.00181666792824162,0.171568083453557,0.0713761198413864
andhra pradesh,25946,26211,26212,0.00173437138672628,0.91637098927931,0.0603540363192431
assam,23072,23049,25308,0.000173370319001387,0.999739685018873,0.180456772562036
chhattisgarh,15507,19564,19545,0.000322435029341588,0.0524943774279288,0.00347915067792274
odisha,46075,19066,47472,0,0.0318892268960453,0
gujarat,17784,17882,17801,0.0288461538461538,0.998601946091041,0.000449412954328409
himachal pradesh,16628,17235,17492,0.00691604522492182,0.0261676820423557,0.0184084152755545
uttarakhand,15207,15512,15708,0.0010521470375485,0.693140794223827,0.00222816399286988
tamil nadu,14082,14833,14944,0.00475784689674762,0.927593878514124,0.230928800856531
punjab,11177,11536,12163,0.0563657510960007,0.0610263522884882,0.0373263175203486
west bengal,37100,8019,37284,0.00169811320754717,0.999750592343185,0.00753674498444373
haryana,6547,6620,6610,0.273560409347793,0.998489425981873,0.0473524962178517
jammu kashmir,,6252,6310,,0.998400511836212,0.0397781299524564
,6962,5798,1,0.00545820166618788,0.45584684373922,0
meghalaya,4990,3783,5501,0,0.982024848004229,0.0132703144882749
arunachal pradesh,1412,3188,3355,0,1,0.00208643815201192
manipur,1970,2157,2316,0,0.00139082058414465,0.000863557858376511
kerala,1318,1322,992,0.280728376327769,0.608169440242057,0.563508064516129
nagaland,1145,1251,1262,0,0.816946442845723,0.00237717908082409
tripura,814,824,837,0.0393120393120393,0.353155339805825,0.142174432497013
mizoram,552,469,682,0,1,0
sikkim,420,423,422,0,0,0
andaman nicobar islands,316,380,396,0,0.973684210526316,0
goa,356,344,320,0.0196629213483146,1,0.06875
puducherry,81,92,90,0,1,0
dadra nagar haveli,70,70,65,0,1,0
daman diu,23,23,17,0,1,0.117647058823529
lakshadweep,7,8,6,0,0,0
chandigarh,1,1,1,0,0,1
nct of delhi,1,1,1,1,1,1
