state_name,n_shrids,tap01,tap11,change,contribution,share_of_decline,share_all4_2001
rajasthan,36557,0.999890581831113,0.506852312826545,-0.493038269004568,-18024,0.350296855237573,0.999264146155798
assam,21730,1,0.542982052462034,-0.457017947537966,-9931,0.193009213790742,0.999739685018873
west bengal,7874,1,0.139827279654559,-0.860172720345441,-6773,0.131633411036623,0.999750592343185
uttar pradesh,95233,0.398895340900738,0.32942917895281,-0.0694661619479287,-6615.47100078709,0.128571831307761,0.129119573527285
andhra pradesh,25771,0.965038221256451,0.773641304347826,-0.191396916908625,-4932.48994565217,0.0958630557286343,0.91637098927931
gujarat,17653,0.999433524046904,0.871183368266017,-0.128250155780887,-2264,0.0440008921581151,0.998601946091041
meghalaya,3436,0.988642981945253,0.54627473806752,-0.442368243877733,-1519.97728596389,0.0295407935700007,0.982024848004229
nagaland,1116,0.935483870967742,0.560035842293907,-0.375448028673835,-419,0.00814327465293737,0.816946442845723
tamil nadu,13514,0.998816042622466,0.969661092200681,-0.0291549504217848,-394,0.00765739907698646,0.927593878514124
arunachal pradesh,1355,1,0.802214022140221,-0.197785977859779,-268,0.00520858617419383,1
mizoram,416,1,0.471153846153846,-0.528846153846154,-220,0.00427570506836807,1
andaman nicobar islands,307,0.993485342019544,0.718032786885246,-0.275452555134298,-84.5639344262295,0.0016435020137608,0.973684210526316
goa,319,1,0.981191222570533,-0.0188087774294671,-6,0.00011661013822822,1
dadra nagar haveli,65,1,0.969230769230769,-0.0307692307692308,-2,3.88700460760734e-05,1
chandigarh,1,1,1,0,0,,0
daman diu,17,1,1,0,0,,1
haryana,6478,1,1,0,0,,0.998489425981873
lakshadweep,4,0.75,0.75,0,0,,0
nct of delhi,1,1,1,0,0,,1
puducherry,79,1,1,0,0,,1
sikkim,417,1,1,0,0,,0
tripura,784,0.588010204081633,0.655612244897959,0.0676020408163266,53.0000000000001,,0.353155339805825
himachal pradesh,16569,0.989377753636309,0.992878266642525,0.00350051300621645,58.0000000000004,,0.0261676820423557
kerala,985,0.846700507614213,0.974619289340102,0.127918781725888,126,,0.608169440242057
manipur,1827,0.197044334975369,0.281095890410959,0.0840515554355894,153.562191780822,,0.00139082058414465
uttarakhand,15137,0.941071546541587,0.957917685142366,0.0168461386007795,255,,0.693140794223827
odisha,18617,0.0501692001933717,0.138207015093732,0.0880378149003599,1639,,0.0318892268960453
jharkhand,28572,0.0249545009099818,0.0905579549843745,0.0656034540743927,1874.42188981355,,0.00213087709650811
chhattisgarh,15427,0.0716924871977702,0.202242821028068,0.130550333830298,2014,,0.0524943774279288
punjab,10506,0.581953169617362,0.774964302712994,0.193011133095632,2027.77496430271,,0.0610263522884882
bihar,36784,0.0328956311339478,0.0946879077859939,0.0617922766520462,2272.96710436887,,0.00801367667485843
madhya pradesh,49850,0.125897693079238,0.20028486027804,0.074387167198802,3708.20028486028,,0.0552169862588308
maharashtra,39457,0.563524849836531,0.778239602605368,0.214714752768837,8472,,0.135629021958049
karnataka,26264,0.554713676515382,0.896131586963143,0.341417910447761,8967,,0.171568083453557
