band,vintage,method,n,rmse,mae,wrong_side
<5 km,may1996,idw1,250,2.82223587096682,2.13837278972422,0.248
5-10 km,may1996,idw1,640,3.65142469023794,2.58511539393548,0.265625
10-20 km,may1996,idw1,327,3.97781861423964,2.66546177339664,0.256880733944954
>20 km,may1996,idw1,6,5.43752385734978,4.61832068805246,0.5
<5 km,may1996,idw2,250,2.83289971711725,2.08424931692645,0.212
5-10 km,may1996,idw2,640,3.62351992691728,2.56020497510776,0.2578125
10-20 km,may1996,idw2,327,3.9894889308401,2.63087865441244,0.244648318042813
>20 km,may1996,idw2,6,5.32569615213053,4.53074391930453,0.333333333333333
<5 km,may1996,idw3,250,2.94690165238295,2.13594262842959,0.232
5-10 km,may1996,idw3,640,3.69800523852128,2.59366310070629,0.26875
10-20 km,may1996,idw3,327,4.03765328645803,2.63842767477124,0.250764525993884
>20 km,may1996,idw3,6,5.23325873532821,4.44995918052064,0.333333333333333
<5 km,may1996,nn,250,3.19429723100403,2.29212,0.236
5-10 km,may1996,nn,640,4.38842969138734,3.121765625,0.296875
10-20 km,may1996,nn,327,5.08547800549196,3.34669724770642,0.262996941896024
>20 km,may1996,nn,6,4.51005173658426,3.82333333333333,0.5
<5 km,may1996,ok,250,2.74041082870741,2.07231239486569,0.22
5-10 km,may1996,ok,640,3.57639775517029,2.530265118579,0.2625
10-20 km,may1996,ok,327,3.92831552469177,2.61027113827073,0.250764525993884
>20 km,may1996,ok,6,5.61405576545424,4.66767203269133,0.333333333333333
<5 km,may1996,ok_log,250,2.77194155758002,2.09750611587202,0.216
5-10 km,may1996,ok_log,640,3.64847055940924,2.58364869578061,0.2703125
10-20 km,may1996,ok_log,327,3.94664049932586,2.6017474525528,0.262996941896024
>20 km,may1996,ok_log,6,6.11645567734004,4.90692369058338,0.666666666666667
<5 km,may2000,idw1,275,3.19514870222603,2.18586922662674,0.243636363636364
5-10 km,may2000,idw1,690,3.60318569924713,2.57020868091448,0.257971014492754
10-20 km,may2000,idw1,341,3.72353517201463,2.61558563891769,0.278592375366569
>20 km,may2000,idw1,3,1.85262736972654,1.81207574908581,0.333333333333333
<5 km,may2000,idw2,275,3.39056609379858,2.17686507905942,0.207272727272727
5-10 km,may2000,idw2,690,3.58439862980031,2.54875838890563,0.257971014492754
10-20 km,may2000,idw2,341,3.76767802634965,2.59985402795433,0.258064516129032
>20 km,may2000,idw2,3,1.75496395082746,1.72093219366036,0.333333333333333
<5 km,may2000,idw3,275,3.67596886175361,2.26627326563043,0.229090909090909
5-10 km,may2000,idw3,690,3.67149588130132,2.58791027875831,0.271014492753623
10-20 km,may2000,idw3,341,3.84290704205385,2.630897380804,0.272727272727273
>20 km,may2000,idw3,3,1.67121267287351,1.63816140618525,0.333333333333333
<5 km,may2000,nn,275,4.04096262159042,2.44298181818182,0.232727272727273
5-10 km,may2000,nn,690,4.4024104892595,3.13563768115942,0.292753623188406
10-20 km,may2000,nn,341,5.06329103736219,3.40885630498534,0.275659824046921
>20 km,may2000,nn,3,3.60678065131034,3.11333333333333,0.666666666666667
<5 km,may2000,ok,275,3.22484467759059,2.24571458248869,0.225454545454546
5-10 km,may2000,ok,690,3.61949926197978,2.57417581115175,0.259420289855072
10-20 km,may2000,ok,341,3.74093117083167,2.64457107580767,0.284457478005865
>20 km,may2000,ok,3,1.73437570123584,1.64938600385494,0.333333333333333
<5 km,may2000,ok_log,275,3.23576527810565,2.16993957010297,0.210909090909091
5-10 km,may2000,ok_log,690,3.61415303915503,2.57597203827788,0.268115942028986
10-20 km,may2000,ok_log,341,3.73921114840964,2.58630475639544,0.287390029325513
>20 km,may2000,ok_log,3,1.99538799912737,1.85070737351866,0.333333333333333
