vintage,method,label,n,rmse,mae,bias,wrong_side,n_near8,wrong_side_near8
may1996,nn,nearest neighbour,1223,4.379312018236,3.01575633687653,0.0511774325429272,0.276369582992641,391,0.391304347826087
may1996,idw1,IDW power 1,1223,3.60292486539096,2.52525181813473,-0.0191551141961357,0.260834014717907,391,0.416879795396419
may1996,idw2,IDW power 2,1223,3.59250849853243,2.49147612167561,0.00108035706757755,0.245298446443173,391,0.378516624040921
may1996,idw3,IDW power 3,1223,3.66398342753871,2.52117387268418,0.0263039764544544,0.256745707277187,391,0.391304347826087
may1996,ok,ordinary kriging,1223,3.53683106080383,2.468530228142,-0.00285190204315907,0.25102207686018,391,0.391304347826087
may1996,ok_log,ordinary kriging on log(depth),1223,3.58952547707277,2.50051075502523,-0.000779136311862306,0.259198691741619,391,0.416879795396419
may2000,nn,nearest neighbour,1309,4.51166340972917,3.06124522536287,0.0708250572956455,0.276546982429335,419,0.384248210023866
may2000,idw1,IDW power 1,1309,3.55077391401335,2.49954847767115,-0.00579762405888594,0.260504201680672,419,0.412887828162291
may2000,idw2,IDW power 2,1309,3.59061608284165,2.48204293750927,0.0339574568909841,0.247517188693659,419,0.381861575178998
may2000,idw3,IDW power 3,1309,3.71454397535745,2.52936113939215,0.0677988498975665,0.26279602750191,419,0.391408114558473
may2000,ok,ordinary kriging,1309,3.56973551611122,2.5213901564103,0.00676247020455078,0.258976317799847,419,0.39618138424821
may2000,ok_log,ordinary kriging on log(depth),1309,3.56879926358509,2.49170063578415,0.0410718107364457,0.261268143621085,419,0.420047732696897
