WLCODE,STATE,DISTRICT,SITE_TYPE,n_read,mean_depth,sd_depth,min_depth,max_depth,straddles,near8_mean
W00665,UP,Jhansi,Dug Well,5,7.02,0.605061980296234,5.99,7.5,FALSE,TRUE
W12585,UP,Ballia,Dug Well,3,4.32,1.30456889430953,2.85,5.34,FALSE,FALSE
W14593,UP,Agra,Dug Well,5,3.63,1.71331549925867,2.33,6.55,FALSE,FALSE
W14594,UP,Agra,Dug Well,5,14.612,0.825875293249532,13.67,15.64,FALSE,FALSE
W14597,UP,Agra,Dug Well,4,14.9025,0.457265422557476,14.58,15.55,FALSE,FALSE
W14598,UP,Agra,Dug Well,3,22.6666666666667,1.44337567297406,21,23.5,FALSE,FALSE
W14600,UP,Agra,Dug Well,4,20.125,7.82575874915653,8.4,24.3,FALSE,FALSE
W14601,UP,Agra,Dug Well,5,7.896,1.43030765921182,6.73,10.33,TRUE,TRUE
W14602,UP,Agra,Dug Well,4,9.0625,0.696867993238318,8.2,9.7,FALSE,TRUE
W14604,UP,Agra,Dug Well,3,8.04666666666667,0.277368587502862,7.74,8.28,TRUE,TRUE
W14606,UP,Agra,Dug Well,4,17.6125,2.24958329474594,15.7,20.05,FALSE,FALSE
W14607,UP,Agra,Dug Well,5,9.482,1.66864316137394,8.1,12.25,FALSE,TRUE
W14608,UP,Agra,Dug Well,5,3.666,1.17973725888437,1.68,4.8,FALSE,FALSE
W14610,UP,Agra,Dug Well,4,20.705,1.46766254068615,18.91,22.5,FALSE,FALSE
W14611,UP,Aligarh,Dug Well,5,3.554,0.40543803472294,3.12,4.02,FALSE,FALSE
W14612,UP,Aligarh,Dug Well,5,6.264,0.325392071200268,5.89,6.65,FALSE,TRUE
W14613,UP,Aligarh,Dug Well,3,14.0666666666667,0.115470053837925,14,14.2,FALSE,FALSE
W14615,UP,Aligarh,Dug Well,5,2.944,0.627837558608913,2.13,3.76,FALSE,FALSE
