pc11_state_id,pc11_district_id,area_km2,n_units,gs_unit,share_quat,mixed_q
35,638,1350,3,0.472565157750343,0,FALSE
33,629,1575,4,0.600151171579743,0,FALSE
33,628,6625,5,0.55940192239231,0.0113207547169811,FALSE
32,601,2150,6,0.526771227690644,0.0581395348837209,FALSE
33,627,4675,5,0.425176584975264,0.262032085561497,TRUE
32,600,2325,5,0.693490576945312,0.0645161290322581,FALSE
32,599,2550,4,0.31276432141484,0.0196078431372549,FALSE
33,626,3900,3,0.0743754109138725,0.961538461538461,FALSE
32,598,1350,5,0.264746227709191,0.851851851851852,TRUE
33,625,4300,6,0.481206057328286,0.0697674418604651,FALSE
32,596,4350,3,0.498348526885982,0,FALSE
32,597,2250,4,0.317283950617284,0.155555555555556,TRUE
33,622,4350,6,0.717465979653851,0.35632183908046,TRUE
33,624,2825,4,0.55947999060224,0.15929203539823,TRUE
33,623,3550,4,0.571414401904384,0.0352112676056338,FALSE
32,595,2950,3,0.571100258546395,0.152542372881356,TRUE
33,621,4650,5,0.68811423285929,0.252688172043011,TRUE
33,612,6150,4,0.549573666468372,0,FALSE
33,620,3425,3,0.553252703926688,0.474452554744526,TRUE
32,594,2975,3,0.62114257467693,0.218487394957983,TRUE
33,632,4750,7,0.647756232686981,0.0631578947368421,FALSE
33,633,5300,5,0.35559807760769,0.0283018867924528,FALSE
33,619,2225,2,0.280267642974372,0.831460674157303,TRUE
33,618,2300,1,0,1,FALSE
33,614,4500,8,0.483086419753087,0.0777777777777778,FALSE
32,593,4500,7,0.579074074074074,0.00555555555555556,FALSE
33,613,2850,5,0.224530624807633,0.0701754385964912,FALSE
32,592,3400,4,0.489078719723184,0.0588235294117647,FALSE
34,637,175,1,0,1,FALSE
33,616,2025,5,0.616369455875629,0.185185185185185,TRUE
33,609,3425,6,0.660237625872449,0.0145985401459854,FALSE
35,640,1750,6,0.603265306122449,0.0142857142857143,FALSE
33,610,5725,5,0.623901146049847,0,FALSE
33,615,1775,7,0.578853402102757,0.0140845070422535,FALSE
33,617,3725,5,0.656366830322958,0.503355704697987,TRUE
32,591,2250,3,0.524444444444445,0.0666666666666667,FALSE
33,611,2475,3,0.436282012039588,0,FALSE
33,608,5250,6,0.609070294784581,0,FALSE
32,590,2125,7,0.536193771626298,0,FALSE
33,607,7075,7,0.620384821885652,0.134275618374558,TRUE
29,578,5450,2,0.499957916000337,0,FALSE
32,589,2875,11,0.757958412098299,0.0782608695652174,FALSE
29,577,6425,8,0.175778588623598,0,FALSE
33,630,4500,6,0.536543209876543,0,FALSE
34,635,300,3,0.402777777777778,0.75,TRUE
29,576,4075,5,0.386390153938801,0,FALSE
33,606,6325,5,0.408598790795045,0.00790513833992095,FALSE
33,631,5050,7,0.568963827075777,0,FALSE
32,588,1950,6,0.639710716633794,0.0641025641025641,FALSE
29,573,5000,4,0.13195,0,FALSE
33,604,4375,6,0.649795918367347,0.2,TRUE
29,584,3450,5,0.640411678218862,0,FALSE
33,605,5975,8,0.738957651301623,0.0543933054393306,FALSE
29,575,4850,4,0.173929216707408,0,FALSE
29,574,6775,5,0.166827793739192,0,FALSE
28,554,15050,11,0.190246244522687,0.00996677740863787,FALSE
35,639,2450,5,0.659933361099542,0,FALSE
29,572,2250,3,0.145925925925926,0,FALSE
29,571,10650,8,0.657001476779299,0,FALSE
29,581,3850,4,0.403862371394839,0,FALSE
29,583,2325,3,0.197479477396231,0,FALSE
33,602,3500,6,0.667857142857143,0.5,TRUE
33,603,150,1,0,1,FALSE
29,570,7300,7,0.567226496528429,0,FALSE
29,569,3525,4,0.32734771892762,0.0141843971631206,FALSE
29,582,4275,4,0.521938374200609,0,FALSE
28,550,13250,10,0.695820576717693,0.256603773584906,TRUE
29,568,8325,7,0.657323990657324,0,FALSE
29,566,8475,9,0.592772426275442,0,FALSE
28,553,19125,13,0.622912555000213,0,FALSE
28,551,15425,10,0.80374794123287,0,FALSE
29,567,5925,6,0.581922412718759,0,FALSE
29,563,10075,8,0.697436718408463,0,FALSE
29,564,4900,1,0,0,FALSE
29,565,8425,10,0.768484357527142,0,FALSE
28,552,17325,15,0.781869405246029,0,FALSE
28,549,17725,13,0.869040206413212,0.0944992947813822,FALSE
30,586,1850,4,0.324689554419284,0,FALSE
29,561,4600,5,0.474243856332703,0,FALSE
29,562,4200,2,0.459183673469388,0,FALSE
29,560,5675,6,0.666886607541384,0,FALSE
30,585,1700,3,0.137975778546713,0,FALSE
29,555,13300,9,0.646128950195037,0.0037593984962406,FALSE
29,559,8500,7,0.535570934256056,0,FALSE
28,547,8475,8,0.655076095752735,0.533923303834808,TRUE
27,529,4925,8,0.756731685949136,0,FALSE
28,548,11250,10,0.780750617283951,0.308888888888889,TRUE
27,530,7750,4,0.0995837669094693,0,FALSE
29,556,6525,7,0.782313823930946,0,FALSE
28,538,18450,8,0.403841775545127,0,FALSE
29,557,10600,7,0.195576717693129,0,FALSE
29,580,5350,6,0.540396541182636,0,FALSE
28,546,7850,10,0.702280011359487,0.461783439490446,TRUE
28,545,10700,7,0.721307537776225,0.364485981308411,TRUE
28,539,14225,5,0.160692609671949,0,FALSE
27,528,7975,2,0.470868014268728,0,FALSE
29,579,11075,5,0.454229066135369,0,FALSE
27,531,8575,2,0.00581390407058291,0,FALSE
28,541,15775,16,0.837404969346571,0,FALSE
28,537,7600,5,0.443472991689751,0,FALSE
27,527,10625,2,0.0323986159169551,0,FALSE
27,526,14875,1,0,0,FALSE
28,544,11575,6,0.664788285619656,0.0475161987041037,FALSE
28,536,200,1,0,0,FALSE
28,540,12775,6,0.570471160879439,0,FALSE
28,535,9525,3,0.368845626580142,0,FALSE
29,558,5425,2,0.317781222790885,0,FALSE
27,525,7600,1,0,0,FALSE
22,416,8725,12,0.5775814648484,0.00286532951289398,FALSE
21,399,5850,9,0.66841989918913,0,FALSE
28,543,6050,5,0.458404480568267,0.0413223140495868,FALSE
27,524,7100,1,0,0,FALSE
27,520,6775,3,0.158113315450498,0.0627306273062731,FALSE
27,521,15650,1,0,0,FALSE
28,534,11975,10,0.397182717997219,0.00417536534446764,FALSE
28,533,8025,3,0.164905231897982,0,FALSE
22,417,8250,10,0.502460973370064,0,FALSE
28,542,5575,5,0.60314906794828,0.210762331838565,TRUE
27,511,10500,3,0.158185941043084,0,FALSE
21,398,8550,8,0.733712937314046,0,FALSE
27,522,17000,1,0,0,FALSE
27,523,10650,1,0,0,FALSE
22,414,10725,9,0.674621415880157,0.00699300699300699,FALSE
28,532,16150,9,0.791165447766201,0,FALSE
27,508,14350,15,0.684274423630249,0.00174216027874564,FALSE
27,513,6275,1,0,0,FALSE
21,389,4175,5,0.338054430062032,0.0119760479041916,FALSE
21,396,7425,4,0.695121812966931,0.0942760942760943,FALSE
21,388,8475,4,0.551961782441851,0.351032448377581,TRUE
27,519,75,1,0,1,FALSE
22,415,4725,5,0.405419781081157,0,FALSE
27,517,9400,2,0.185929719330014,0.103723404255319,TRUE
21,397,5325,5,0.613855275628733,0,FALSE
27,518,375,2,0.48,0.6,TRUE
21,395,7875,5,0.735943562610229,0,FALSE
27,512,4775,1,0,0,FALSE
27,514,7725,1,0,0,FALSE
27,515,10150,1,0,0,FALSE
27,510,13625,7,0.237407625620739,0.0311926605504587,FALSE
27,509,11300,9,0.780483984650325,0.0530973451327434,FALSE
21,387,3500,1,0,1,FALSE
21,390,7850,5,0.565154773013104,0.0159235668789809,FALSE
27,516,15450,1,0,0,FALSE
22,413,7075,11,0.721846945273383,0,FALSE
21,386,2850,6,0.196522006771314,0.894736842105263,TRUE
22,410,12400,8,0.660314776274714,0,FALSE
27,500,9650,2,0.30991436011705,0.191709844559585,TRUE
27,502,5100,1,0,0,FALSE
21,385,3900,5,0.552925706771861,0.262820512820513,TRUE
21,394,3925,6,0.699176437177979,0,FALSE
22,412,4275,4,0.659006189938785,0,FALSE
22,408,8175,12,0.833618569331051,0.00305810397553517,FALSE
21,380,1725,1,0,1,FALSE
21,393,6450,5,0.663631993269635,0,FALSE
21,381,3750,5,0.274133333333333,0.846666666666667,TRUE
26,496,500,1,0,0,FALSE
24,491,2975,2,0.125414871831085,0.0672268907563025,FALSE
27,501,5450,2,0.499957916000337,0.504587155963303,TRUE
27,504,6275,2,0.210472849637307,0.119521912350598,TRUE
27,499,11850,2,0.344896651177696,0.221518987341772,TRUE
22,409,8475,8,0.379512882762942,0,FALSE
21,391,3100,3,0.53707075962539,0,FALSE
21,379,2250,1,0,1,FALSE
25,495,50,1,0,0,FALSE
27,503,12200,2,0.439322426766998,0.325819672131148,TRUE
27,505,9925,10,0.701102094423542,0.00251889168765743,FALSE
21,392,2350,4,0.178361249434133,0,FALSE
21,383,4475,11,0.748665771979651,0.435754189944134,TRUE
21,384,6325,8,0.803824462185005,0,FALSE
24,489,1775,1,0,0,FALSE
27,506,4075,8,0.77594188716173,0.0858895705521472,FALSE
27,507,5200,6,0.717363165680473,0,FALSE
24,490,2025,2,0.472488949855205,0.382716049382716,TRUE
27,498,7225,2,0.32494821661618,0.204152249134948,TRUE
21,382,2850,4,0.466759002770083,0.710526315789474,TRUE
21,370,5825,11,0.614783842030614,0,FALSE
22,411,4750,9,0.747146814404432,0,FALSE
21,378,2500,1,0,1,FALSE
24,493,3125,2,0.4032,0.28,TRUE
24,479,8800,5,0.486941503099174,0.303977272727273,TRUE
24,492,4300,7,0.496619794483505,0.651162790697675,TRUE
21,372,6525,8,0.766547760602457,0,FALSE
