pc11_state_id,state_name,unit,age,quat,N,share
01,jammu kashmir,UNDIFF.FLUVIAL / AEOLIAN / COASTA & GLACIAL  SEDIMENTS,QUATERNARY,TRUE,148,0.611570247933884
01,jammu kashmir,SIWALIK Gp. (MIDDLE SIWALIK),MIOCENE - PLIOCENE,FALSE,27,0.111570247933884
01,jammu kashmir,SIWALIK Gp. (UPPER SIWALIK),PLIOCENE - PLEISTOCENE,FALSE,26,0.107438016528926
01,jammu kashmir,MURREE Gp (LOWER MURREE),EOCENE - MIOCENE,FALSE,18,0.0743801652892562
01,jammu kashmir,SIWALIK Gp. (LOWER SIWALIK),MIOCENE,FALSE,13,0.0537190082644628
01,jammu kashmir,KAREWA Gp (DILPUR / HIRPUR Fm.),PLIOCENE - PLEISTOCENE,FALSE,7,0.0289256198347107
01,jammu kashmir,MURREE Gp. (UPPER MURREE),EOCENE - MIOCENE,FALSE,3,0.012396694214876
02,himachal pradesh,UNDIFF.FLUVIAL / AEOLIAN / COASTA & GLACIAL  SEDIMENTS,QUATERNARY,TRUE,68,0.566666666666667
02,himachal pradesh,SIWALIK Gp. (UPPER SIWALIK),PLIOCENE - PLEISTOCENE,FALSE,21,0.175
02,himachal pradesh,SIWALIK Gp. (MIDDLE SIWALIK),MIOCENE - PLIOCENE,FALSE,9,0.075
02,himachal pradesh,SHALI Gp,MESOPROTEROZOIC,FALSE,6,0.05
02,himachal pradesh,SIWALIK Gp. (LOWER SIWALIK),MIOCENE,FALSE,5,0.0416666666666667
02,himachal pradesh,KULU Gp.,PALAEOPROTEROZOIC,FALSE,5,0.0416666666666667
02,himachal pradesh,DAGSHAI = LOWER DHARAMSHALA / LOWER MUR*,EOCENE - MIOCENE,FALSE,4,0.0333333333333333
02,himachal pradesh,KATARIGALI  / MANJIR = LANGERA Fm.,NEOPROTEROZOIC,FALSE,1,0.00833333333333333
02,himachal pradesh,MANDI / DALHOUSIE / DHAULADHAR GRANITOID,PALAEOZOIC,FALSE,1,0.00833333333333333
03,punjab,UNDIFF.FLUVIAL / AEOLIAN / COASTA & GLACIAL  SEDIMENTS,QUATERNARY,TRUE,1156,0.993127147766323
03,punjab,SIWALIK Gp. (UPPER SIWALIK),PLIOCENE - PLEISTOCENE,FALSE,5,0.00429553264604811
03,punjab,SIWALIK Gp. (LOWER SIWALIK),MIOCENE,FALSE,2,0.00171821305841924
03,punjab,SIWALIK Gp. (MIDDLE SIWALIK),MIOCENE - PLIOCENE,FALSE,1,0.000859106529209622
05,uttarakhand,UNDIFF.FLUVIAL / AEOLIAN / COASTA & GLACIAL  SEDIMENTS,QUATERNARY,TRUE,1,1
06,haryana,UNDIFF.FLUVIAL / AEOLIAN / COASTA & GLACIAL  SEDIMENTS,QUATERNARY,TRUE,1050,0.993377483443709
06,haryana,AJABGARH Gp.( DELHI SGp.),PALAEOPROTEROZOIC - MESOPROTEROZOIC,FALSE,4,0.00378429517502365
06,haryana,SIWALIK Gp. (UPPER SIWALIK),PLIOCENE - PLEISTOCENE,FALSE,2,0.00189214758751183
06,haryana,SIWALIK Gp. (LOWER SIWALIK),MIOCENE,FALSE,1,0.000946073793755913
