terme,coef,se,t,p,variable,libelle,moyenne_ref,n,wald_F,wald_p,r2_within_classes
clsBasalt,-0.209836372417934,0.0889954996686653,-2.35783127460563,0.0281581956273949,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsCharnockite,-0.841853525046957,0.378269360748855,-2.22553982003816,0.0371318542540394,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsGneiss,-0.478119900674209,0.32159146766086,-1.4867306777505,0.151946781468964,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsIntrusive,-0.74156121176259,0.221813233372025,-3.34317840504513,0.00308245065751257,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsLimestone,-0.323243497908451,0.154554171745511,-2.09145760517357,0.0488223265968809,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsQuartzite,-0.808038958240909,0.300636712557839,-2.68775876161649,0.0137785515885269,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsSandstone,-0.189039447304529,0.16428189733268,-1.15070163160895,0.262789741050643,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsSchist,-0.518610940567075,0.284254491245053,-1.82445996999212,0.0823444154186113,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsShale,-0.695638851815165,0.167545659810016,-4.15193597138814,0.000451834074858528,log_pop,log population,7.31644916578055,19627,10.7194054802766,4.76243383066767e-06,0.022218478166728
clsBasalt,-0.0169184430117677,0.00959562112034494,-1.76314204151899,0.0924239529787836,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsCharnockite,-0.0756806260670715,0.0386451680230595,-1.95834641013627,0.0636053779802949,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsGneiss,-0.0336897590325804,0.0363811052362794,-0.926023517256556,0.364954242975375,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsIntrusive,-0.0722816069324234,0.0351491315038572,-2.05642654142084,0.0523797684612761,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsLimestone,0.0123050780478444,0.0355720308627409,0.345920031817273,0.732844321679151,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsQuartzite,-0.0576592072772878,0.035338460478485,-1.63162759488043,0.11766473129861,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsSandstone,-0.0273848051295741,0.0203976742547016,-1.34254546805806,0.193752917182154,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsSchist,-0.0281871011530006,0.0336491110141768,-0.837677439416601,0.411644635383671,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsShale,-0.0298115378640852,0.0340160988725324,-0.876394967447536,0.390730597414509,lit_rate,taux d'alphabetisation (7 ans et +),0.26720773079743,19627,5.25144985656884,0.000840720316348063,0.0142530982468868
clsBasalt,0.117733855621948,0.100840347218031,1.16752727325889,0.256083412880703,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsCharnockite,0.329011843818494,0.108847577772937,3.02268411066377,0.00647686511056197,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
clsGneiss,0.171648723589298,0.107597003529414,1.59529278659117,0.125587062373627,st_share,part ST (proxy Scheduled Areas),0.0936756405376303,19627,2.72885325194899,0.0278714817126508,0.0529758417280877
