state,dist,lat,lon,a_true,a_lcc,a_laea,err_lcc,err_laea,k,err_density,bande
24,Kachchh,23.7348961,69.8357630882983,42865912954.9069,41121119000.9654,42766200499.1034,-0.0407035295335237,-0.00232614795603381,0.979436812901412,0.0209949093476207,"(20,24]"
24,Banas Kantha,24.27075035,72.1491226585353,10680897050.214,10246774204.4023,10657271538.3243,-0.0406447926396794,-0.00221194079285569,0.97946679747724,0.0209636534649733,"(24,28]"
24,Patan,23.7725474,71.793839922948,5678872235.58562,5447482742.2266,5665803293.96916,-0.040745676916107,-0.00230132693152851,0.979415296533545,0.021017339160732,"(20,24]"
24,Mahesana,23.5716086,72.4565619765027,4436998147.25034,4256260921.03124,4426664469.68735,-0.0407341225353242,-0.00232897946315125,0.979421195127344,0.0210111900528964,"(20,24]"
24,Sabar Kantha,23.7794246,73.1251569394963,7731002787.15559,7416171008.65581,7713086376.8147,-0.0407232783595478,-0.00231747560234419,0.979426731124106,0.0210054190090172,"(20,24]"
24,Gandhinagar,23.28133075,72.6558454075064,2102193877.72561,2016662091.42011,2097168990.62916,-0.0406869162791225,-0.00239030621756609,0.979445293888779,0.0209860685833818,"(20,24]"
24,Ahmadabad,22.7511159,72.2979782419727,8142909970.47968,7813779785.24091,8122715135.60074,-0.0404192342088956,-0.00248005135168461,0.979581934189838,0.020843652886523,"(20,24]"
24,Surendranagar,22.8272112,71.4852624496038,10625679720.3271,10195519379.9625,10599475158.6492,-0.0404830892410285,-0.00246615391839455,0.979549340645468,0.0208776204586651,"(20,24]"
24,Rajkot,22.3554248,70.7626065234872,11159675592.0058,10712249712.3447,11131172248.4884,-0.0400930901595029,-0.00255413728493681,0.979748391088496,0.0206702140015809,"(20,24]"
24,Jamnagar,22.3385616,70.0555265439958,10892234600.4196,10455292450.0767,10864392522.0003,-0.0401150146294128,-0.00255614017147565,0.979737202197909,0.0206818703593512,"(20,24]"
24,Porbandar,21.60452625,69.8512872394912,2338520253.74183,2246113083.7045,2332315635.54328,-0.0395152318606055,-0.00265322405851509,0.980043248096427,0.020363133915096,"(20,24]"
24,Junagadh,21.1844757,70.4433290606276,8808489671.85786,8465859887.22057,8784482021.49486,-0.0388976768323802,-0.00272551268802601,0.980358262660962,0.020035264746711,"(20,24]"
24,Amreli,21.4198766,71.2760333129598,7393583682.49634,7103718599.55459,7373695166.17178,-0.0392049505881676,-0.00268996973303293,0.980201535099712,0.020198361450509,"(20,24]"
24,Bhavnagar,21.66925735,71.945701093026,8898921484.18535,8547263376.50952,8875340364.62155,-0.0395169356534689,-0.00264988511312347,0.980042378852329,0.0203640389215032,"(20,24]"
24,Anand,22.4486421,72.7342774913589,3134621479.10721,3008390720.85578,3126698721.46293,-0.0402698568528215,-0.00252750059204376,0.979658176685714,0.0207642051058095,"(20,24]"
24,Kheda,22.8935083,73.0385635942471,4001121760.16054,3838911460.25018,3991305197.19747,-0.040541205600266,-0.00245345269439634,0.979519675351003,0.0209085383013448,"(20,24]"
24,Panch Mahals,22.8729994,73.6277355464282,5289562111.15761,5075133605.27386,5276610708.23228,-0.0405380448093134,-0.00244848300353862,0.97952128878891,0.0209068566916095,"(20,24]"
24,Dohad,22.9191868,74.1356073858037,3601711938.75313,3455727560.27291,3592866061.73415,-0.0405319417440008,-0.00245602012859536,0.979524404114568,0.0209036097512454,"(20,24]"
24,Vadodara,22.3180411,73.3559609251901,7579323217.72322,7275336381.94634,7559925901.40434,-0.0401073851905477,-0.00255924120949547,0.979741095805138,0.0206778140486326,"(20,24]"
24,Narmada,21.7388173,73.6293101390221,2866677496.00006,2753130883.26529,2859108944.66183,-0.0396091338817153,-0.00264018235353791,0.979995339845188,0.0204130155945155,"(20,24]"
24,Bharuch,21.84170475,72.8683168045187,5433000421.97397,5217424780.32933,5418713180.75001,-0.0396789296707463,-0.0026297147274601,0.979959728932395,0.0204500965457399,"(20,24]"
24,The Dangs,20.78575525,73.7129386932259,1764519302.7471,1696955889.00453,1759601039.09078,-0.038289982794399,-0.00278731076993999,0.980668148358863,0.0197129392582889,"(20,24]"
24,Navsari,20.827421,73.033172240582,2219931041.47893,2134893264.07933,2213746872.66066,-0.038306495026508,-0.00278574816186727,0.980659729454357,0.0197216934322411,"(20,24]"
24,Valsad,20.4446357,73.1657354539329,3050293101.44779,2935622990.83205,3041610297.96365,-0.0375931449214874,-0.00284654726459632,0.981023371321251,0.0193437070242184,"(20,24]"
24,Surat,21.19310065,72.9462796240217,4318355313.82204,4149910736.9335,4306631406.02224,-0.0390066505989889,-0.00271490114819217,0.980302682543005,0.0200930975786973,"(20,24]"
24,Tapi,21.1896506,73.5594062083892,3219482667.11804,3094258765.01186,3210704143.11348,-0.0388956596614549,-0.00272668776701668,0.980359291453162,0.0200341943184172,"(20,24]"
